,1,5,accuracy,macro avg,weighted avg
precision,0.3967741935483871,0.8555815768930523,0.6625961103573044,0.6261778852207197,0.7406203419889615
recall,0.6660649819494585,0.6614363307181653,0.6625961103573044,0.6637506563338119,0.6625961103573044
f1-score,0.4973045822102426,0.7460857726344452,0.6625961103573044,0.6216951774223439,0.6837498253277929
support,554.0,1657.0,0.6625961103573044,2211.0,2211.0
