,1,5,accuracy,macro avg,weighted avg
precision,0.3010471204188482,0.8829787234042553,0.7555873925501433,0.5920129219115517,0.7914370471753187
recall,0.41894353369763204,0.8184291057463448,0.7555873925501433,0.6186863197219884,0.7555873925501433
f1-score,0.3503427265803503,0.849479442385742,0.7555873925501433,0.5999110844830462,0.7709619475498796
support,549.0,2941.0,0.7555873925501433,3490.0,3490.0
