threshold,precision,recall
0.0032911676028218565,0.15730659025787966,1.0
0.0038732065748636525,0.15748709122203097,1.0
0.006624500936155191,0.15784933870040252,1.0
0.010167780562261806,0.15822967891235176,0.9963570127504554
0.01139376354959153,0.15832127351664255,0.9963570127504554
0.02181290633405584,0.158123370981755,0.994535519125683
0.022157286828000475,0.1585826314260819,0.994535519125683
0.023624414356234084,0.15867480383609417,0.994535519125683
0.02539030324131726,0.1589519650655022,0.994535519125683
0.027030604617017992,0.15904456743373144,0.994535519125683
0.027198325200688777,0.15927654609101516,0.994535519125683
0.027290221514883133,0.15955581531268265,0.994535519125683
0.027366466968680083,0.1596958174904943,0.994535519125683
0.02872926814386806,0.15974253949678174,0.994535519125683
0.028924199290087844,0.15978928884986832,0.994535519125683
0.029757484704805694,0.1595433255269321,0.9927140255009107
0.031052213074050237,0.15977719143946056,0.9927140255009107
0.03448660890648009,0.16001174398120963,0.9927140255009107
0.03513686576615289,0.16038846380223662,0.9927140255009107
0.03672578961893957,0.1604829210836278,0.9927140255009107
0.03724731846060639,0.16057748968768415,0.9927140255009107
0.03760119877327442,0.16056670602125148,0.9908925318761385
0.03890181862365999,0.1607565011820331,0.9908925318761385
0.038994410237565794,0.1608991422656019,0.9908925318761385
0.03949663548930306,0.16094674556213018,0.9908925318761385
0.041175673560185706,0.1608888888888889,0.9890710382513661
0.04246912297317272,0.16083086053412463,0.9872495446265938
0.04258454778988371,0.16087859899079845,0.9872495446265938
0.04530292555940104,0.16092636579572447,0.9872495446265938
0.04824079181827832,0.16097416097416098,0.9872495446265938
0.04850329516084733,0.16102198455139632,0.9872495446265938
0.049474721517952715,0.1610698365527489,0.9872495446265938
0.04980947613926792,0.16183935503135263,0.9872495446265938
0.050063285406163845,0.16168559473998806,0.9854280510018215
0.05073217926381252,0.16173393124065769,0.9854280510018215
0.05093202190123948,0.1617822966507177,0.9854280510018215
0.051003627388827244,0.1620730976632714,0.9854280510018215
0.0511216202549678,0.16212166616721607,0.9854280510018215
0.051524112684948456,0.16217026378896882,0.9854280510018215
0.051689306238627324,0.16241368958270788,0.9854280510018215
0.05188674017949222,0.16256009615384615,0.9854280510018215
0.05255234628495168,0.16260895701833483,0.9854280510018215
0.053390244213680126,0.16260162601626016,0.9836065573770492
0.053437783831307366,0.16239831274480265,0.9817850637522769
0.05348622941706096,0.16249623153451914,0.9817850637522769
0.05381884676285003,0.16224366706875754,0.9799635701275046
0.0543560523476842,0.1622926093514329,0.9799635701275046
0.05452385157208422,0.16287534121929026,0.9781420765027322
0.054697707350356194,0.1629247572815534,0.9781420765027322
0.05552517816475817,0.1629742033383915,0.9781420765027322
0.0559826245055012,0.16302367941712204,0.9781420765027322
0.05612303973940656,0.16307318554509564,0.9781420765027322
0.056511764113943194,0.16312272174969622,0.9781420765027322
0.05673108115214943,0.1631162507608034,0.97632058287796
0.05718880202676621,0.1628048780487805,0.9726775956284153
0.057312358017382575,0.16285452881976212,0.9726775956284153
0.057608216728814415,0.16290420988407567,0.9726775956284153
0.057946536477574855,0.16305343511450382,0.9726775956284153
0.05795802381373535,0.16310323762981063,0.9726775956284153
0.05807220577549972,0.16345270890725436,0.9726775956284153
0.05829821561632612,0.16355283307810106,0.9726775956284153
0.05834790869697943,0.1637032495401594,0.9726775956284153
0.05847176238350779,0.1640552995391705,0.9726775956284153
0.05865908177586874,0.16430769230769232,0.9726775956284153
0.05869950550323464,0.16435826408125578,0.9726775956284153
0.05890304615311869,0.16410098522167488,0.970856102003643
0.059051539205922175,0.1637372802960222,0.9672131147540983
0.059748032444547204,0.16378778531770513,0.9672131147540983
0.059823212284857166,0.1639394874961408,0.9672131147540983
0.06071004700695274,0.1635239567233385,0.9635701275045537
0.06080500130122615,0.16392934614192747,0.9635701275045537
0.06137596277360217,0.16367017978921264,0.9617486338797814
0.061681599660915465,0.16382252559726962,0.9617486338797814
0.06225400394427664,0.16387337057728119,0.9617486338797814
0.062468745984714504,0.1639751552795031,0.9617486338797814
0.06260506029437356,0.16417910447761194,0.9617486338797814
0.06290720189054494,0.16443475552787293,0.9617486338797814
0.06295795043792794,0.16448598130841122,0.9617486338797814
0.06300067500299822,0.1642256154565285,0.9599271402550091
0.06314876541076864,0.1645846346033729,0.9599271402550091
0.06325900281786989,0.1646360512339894,0.9599271402550091
0.06404923921234817,0.1646875,0.9599271402550091
0.06405615683528373,0.1647389809315411,0.9599271402550091
0.06506995484279851,0.16489361702127658,0.9599271402550091
0.06537400065468096,0.16566929133858269,0.9581056466302368
0.06569074596365439,0.1657214870825457,0.9581056466302368
0.0656913381065271,0.16577371572644184,0.9581056466302368
0.06662000293285936,0.16582597730138715,0.9581056466302368
0.06663140583981891,0.16587827183853673,0.9581056466302368
0.06714062547392281,0.16629781852671516,0.9581056466302368
0.0671599461000946,0.16650838873061094,0.9581056466302368
0.06718481490176174,0.16656111462951234,0.9581056466302368
0.06788543407026544,0.16735602927139676,0.9581056466302368
0.06806157068477438,0.16751592356687897,0.9581056466302368
0.06843802613885393,0.16756928958266964,0.9581056466302368
0.06913178329281208,0.16730401529636713,0.9562841530054644
0.0698132434898359,0.1673573477845075,0.9562841530054644
0.07011472858674439,0.1678388746803069,0.9562841530054644
0.0701454706500821,0.1676263595649392,0.9544626593806922
0.07033037331612628,0.16778738392571246,0.9544626593806922
0.07040378646892455,0.16794871794871793,0.9544626593806922
0.07068121506830814,0.16805644644002565,0.9544626593806922
0.0708545081779505,0.1678433889602054,0.9526411657559198
0.07280441653957045,0.16789727126805779,0.9526411657559198
