,1,5,accuracy,macro avg,weighted avg
precision,0.2478902953586498,0.8764752163650669,0.705730659025788,0.5621827558618583,0.7775946657540287
recall,0.42805100182149364,0.7575654539272356,0.705730659025788,0.5928082278743646,0.705730659025788
f1-score,0.3139612558450234,0.8126937807769469,0.705730659025788,0.5633275183109852,0.734239867829203
support,549.0,2941.0,0.705730659025788,3490.0,3490.0
