,1,5,accuracy,macro avg,weighted avg
precision,0.3004866180048662,0.8868065967016492,0.7487106017191977,0.5936466073532577,0.7945746000527856
recall,0.44990892531876137,0.8044882692961578,0.7487106017191977,0.6271985973074596,0.7487106017191977
f1-score,0.36032093362509116,0.843644143341059,0.7487106017191977,0.601982538483075,0.7676142172281459
support,549.0,2941.0,0.7487106017191977,3490.0,3490.0
