,1,5,accuracy,macro avg,weighted avg
precision,0.23529411764705882,0.8741455568958585,0.6905444126074498,0.5547198372714587,0.7736500153062909
recall,0.42987249544626593,0.7392043522611357,0.6905444126074498,0.5845384238537008,0.6905444126074498
f1-score,0.30412371134020616,0.8010316875460575,0.6905444126074498,0.5525776994431318,0.7228647881371713
support,549.0,2941.0,0.6905444126074498,3490.0,3490.0
