IDADEGES,CASOS_ZIKA_CUMUL_LAG1,MEDICOS_SUS_TOTAL,LEITOS_OBSTETRICIA_SUS,LEITOS_UTI_NEONATAL_SUS,UFRES_11.0,UFRES_12.0,UFRES_13.0,UFRES_14.0,UFRES_15.0,UFRES_16.0,UFRES_17.0,UFRES_21.0,UFRES_22.0,UFRES_23.0,UFRES_24.0,UFRES_25.0,UFRES_26.0,UFRES_27.0,UFRES_28.0,UFRES_29.0,UFRES_31.0,UFRES_32.0,UFRES_33.0,UFRES_35.0,UFRES_41.0,UFRES_42.0,UFRES_43.0,UFRES_50.0,UFRES_51.0,UFRES_52.0,UFRES_53.0,UFRES_nan,EXANT_GES_1.0,EXANT_GES_2.0,EXANT_GES_3.0,EXANT_GES_4.0,EXANT_GES_5.0,EXANT_GES_9.0,EXANT_GES_nan,FEBRE_GES_1.0,FEBRE_GES_2.0,FEBRE_GES_9.0,FEBRE_GES_nan
-0.0035471649366989964,-0.019684136626608492,0.011436579252627423,0.010110560861165937,0.03336205513174872,-0.0011095661673512058,0.0004591062071421068,-0.0022398639466040845,-0.00033324066013927837,-0.0006617923205218353,-0.000791869105815641,0.002740285539475403,-0.0038482554849265916,-0.004032872595954355,0.0015836022347751001,0.00016245868290501935,2.8324833875068207e-05,0.009080108764531062,-0.02539565517460387,-0.003002406035776104,-0.0022109691599009307,0.0006199151692053106,0.0005750156064202585,0.00106191450093521,0.002770349726346678,0.00011990769038672129,-0.00019637617742300668,0.0005871135185829818,-0.0016960338730120756,0.0007034193040485898,-0.0005102041858079286,0.00015796020150647723,0.0,-0.04429932173371351,-0.005470102877136864,-0.0003923926947614455,-0.003127060938086333,0.016308547747805394,-0.06785420013711338,0.0,-0.02378850709822799,0.01713957434203102,-0.02327516315921819,0.0
-0.07588034544966209,-0.0356927039991874,-0.03552763322145476,-0.017358207187417426,-0.02949798159662345,7.899859592042006e-06,0.000250587581336511,-0.0005647707049188532,-0.0002851170039258561,-0.0006848501788358931,-0.0005773449141683763,0.0019324935836254437,-0.001989954307721169,-0.004513483974047613,-0.0019300742243452827,-0.004814250674520847,0.0009599872740614336,-0.006182068056744004,0.0005877907348561525,-0.006271903119873053,-0.012211739480529473,0.0012082380406605005,0.00090394253282463,4.9290563920464027e-05,0.004755785379541275,0.0003836057890305112,-0.00036085950135101235,-0.08114784231756166,-0.00022418235896233315,-0.00032596621657923454,0.0016486711674914343,-8.964166240602401e-05,0.0,-0.0493979863171492,-0.012304524343068123,0.0003390475775645956,-0.00199645148540447,-0.045169844083925596,0.0210636229436653,0.0,-0.029565701405968776,-0.024176267770067133,-0.011646337488791814,0.0
-0.09848654329859392,-0.034926406133838385,0.003488431080021387,-0.004217978094252979,0.014368326822532033,6.391364429750806e-05,0.0009448265013105973,-0.0014019541461662815,-0.0005174578178960947,-0.0017660765036198057,-0.0004923014308893739,0.0020245234006065257,-0.0037089288243927826,-0.0013152399371272783,-0.0020822383020785364,-0.0014231792715904458,0.00258729400959107,-0.002908615687061642,-0.001696764456865133,-0.00635612616850976,-0.00635031585623158,0.0014951355460482245,0.002767678598982024,-0.0007264255813933771,0.006320518742428317,0.0004989806631958063,-0.0007876860283592049,0.0015052848840245736,0.01152007728634747,-0.0002575636373002505,0.001236360282211701,0.00036230563250927114,0.0,-0.040549186565849556,-0.006983013638751589,-0.0005351844176517994,-0.0034086445566961256,-0.05626866241683097,0.006582079062953365,0.0,-0.030406123481864267,-0.020640084748833647,0.005791472133022131,0.0
-0.058302679100648694,0.01352065085533802,-0.020927911546105363,-0.013592896234591359,-0.008988891592047393,-8.345788413438843e-05,0.00010285693803286885,-0.00031420228374449196,-6.690916220988092e-05,-0.00041529294978713744,-0.00013684327874209675,0.0009657092492625852,-0.0019446663622426658,-0.0017893337770712968,0.0008547686529200812,-0.000522174427004299,0.0021659675745349777,-0.01534108414751502,0.0008197746730965079,-0.00395418727827132,-0.0024600187369552555,-0.01593072936609674,0.0005274740889090709,-0.001146668062451319,-0.0009020863303365068,0.00023911792649997804,-0.0002762700354972809,0.0004233957086947644,-0.0005149210832712775,0.0010274149030432853,-0.0012590745584842354,-4.6803483308542844e-05,0.0,-0.047576055047417146,-0.005248705265373236,0.0010188572509846705,-0.003953979592599614,0.01268636498530314,-0.08544809383836126,0.0,-0.017926426144852476,0.007054888265593277,-0.031235744486878127,0.0
-0.007483834663111981,0.011048892386816753,-0.005969325519241382,0.0011330080654321365,-0.009569075091588131,-0.00024566056986609087,0.00019233873385381714,-0.00020406700331603795,2.3406927958729435e-05,-0.00043162010158863834,-0.00020552040992808624,0.0015547985193810814,-0.0006865743597520928,-0.004662575911142538,-0.002144370502927425,-0.0020023834581302143,0.011162812750999236,-0.014783802273561904,0.00029959034619851384,-0.006780721263608828,-0.0017072500605772795,0.0015771327694813762,9.788836096344667e-05,-0.000708902525219477,0.0006536538151416186,-4.303205582705904e-05,-0.00013186320211269,0.001241133232275179,-0.0005811281165167254,0.0005849348832273964,0.0005692320722024133,8.556429182339104e-05,0.0,-0.062409478880062846,-0.011996570521398789,0.0006405554344226329,-0.0032690707986943734,0.04277486710038079,-0.07770868092855018,0.0,0.14194749575605908,0.02675792568783565,0.0368822848221422,0.0
-0.05623168106150118,-0.04809504268036495,-0.0027706294838236744,0.002842873383760004,-0.010356320527466363,7.653081386285867e-05,0.0005205609919160993,-0.0004423548618198375,-0.00025005679380624206,-0.0006518097335005065,-0.0007014289343721909,0.0031751978773850494,-0.0009877020627025704,-0.004539733271028842,-0.002331196842595543,-0.006713280347097379,0.0031382468101431287,0.017468490955704127,0.0016479029563437329,-0.005757243929643991,-0.0015996675306084625,0.002615515340424672,0.0019449600362449792,0.0024209455899268763,0.008452981495460624,0.0012199544239927444,-0.00031822598670906146,0.003216169347646821,-6.451868689757802e-05,-0.00010984350650419256,0.003827261105120909,0.0005456538602236782,0.0,-0.06325989787314557,-0.01574015197393885,-0.00023674757723894045,-0.0037456119740952583,-0.07346214403639152,0.03835533732282504,0.0,-0.023231575416417002,-0.009012216950690852,0.014102856603079535,0.0
-0.0037089743235724127,-0.0144161081522069,0.003595065580875507,0.010285173162357898,-0.0023341895292247066,0.0001837110173230675,0.0005997433994750225,-0.00032595162108825054,-0.00020543586512945748,-0.0005816659856954689,-0.0006673544264639228,0.004090358838042157,-0.0009976887234310803,-0.003930580781627343,-3.063927389831431e-05,-0.0027130814619252194,0.008271060137682007,0.07497429732535599,0.002215240604557211,-0.0016589094083858027,0.004970545952907151,0.0031653028691053763,0.0022823941249434728,0.0030219411391555293,0.010587753787269174,0.0015076161137734178,-0.0002541374628457239,0.0026416951594057793,4.9792340186449555e-06,-0.00014787575546018335,0.0049796650023046,0.0008528889419800987,0.0,-0.058235195112402036,-0.013229257888929554,-0.00015048436746586803,-0.0017929613475842897,-0.052330763103875175,0.06337935096989986,0.0,-0.018118693002922882,0.002085647957746233,0.02029833168613597,0.0
-0.01429665965604632,-0.004172551722857354,-0.011099758051636165,-0.004137412871452925,-0.014782318041475517,-3.4214805313115314e-05,-3.350376554316031e-05,5.765342970242184e-05,0.00012229320860015328,-0.0009219386991020712,-0.0003985158118747859,0.002029316501832763,-0.0037074794441636066,-0.0031717072285195624,-0.006844589813983656,-0.004503778683086196,0.003394957978708127,-0.054565939671043055,0.0010856411682223926,-0.0072548347572566774,-0.003934502323889676,0.0005942392413703664,0.0016118682436894749,-0.0006004017837001439,-0.0007770006438986382,-0.0001375358461787188,-0.0005559940662999641,0.0017197958608934673,-0.00027916580068072745,0.00045225674627560425,0.0026322116099396927,4.923386772057852e-05,0.0,-0.0679928456343093,-0.013735293227525302,-0.0032448393429009596,-0.0028711043165846263,-0.09497763921292238,0.0267041534215648,0.0,0.07654839974634275,0.01492615258983683,0.02050343833211757,0.0
-0.017020903983938216,-0.03583551009168059,0.007227324846942066,-0.012351430784350676,0.037189360115293314,-0.0011033911841112655,0.0012212339891804118,-0.0029169388273704603,-0.0027023609577380087,-0.0008860786873304641,-0.0019183389414487168,-0.08780964175691157,-0.0034351918584512903,-0.002925829157909897,-0.0008316764846719746,-0.0015849626834892134,0.0011836796117141405,-0.0019102081643722134,-0.0003093452491443804,-0.008336299589645456,-0.003996793971371519,0.0011679225577484991,0.0009871540289813606,0.0006934270091335155,0.005368653091478016,0.0003396884819605138,-0.00019727795515234623,0.0015046152907174672,-0.0005126449592142082,0.0007669000411646521,0.0010737808969468,0.00039552650447056015,0.0,-0.05504000309490493,-0.010655345915556278,-0.0024134304563499095,-0.001893370462660326,-0.060609288938854956,0.02105623681316013,0.0,-0.039918503442005364,-0.021167439780264617,0.008785442802928367,0.0
-0.06373591920312144,-0.004666438416981358,-0.0077478270332879155,0.001665689504256826,-0.006789480250044002,-4.7947026328104376e-05,0.00018376654910715417,-0.0002995219367157831,-5.348325352767112e-05,-0.00036444376187846526,-0.00017179424755900345,0.0017291393738011753,-0.0022465224557188966,-0.0021939467757047023,0.002960729389885143,-0.0009316662709651514,0.009375896600390187,0.0028086970137003874,0.0008181998153105404,-0.0050802613196775665,-0.005450133906390201,0.0005674926324090525,0.0010455094266030775,2.256094103682274e-05,0.0005180772088075237,5.122838938938142e-05,-0.00022162762664553533,0.0008714774896543589,-0.0003308681825482746,-0.00024138326635130718,0.00034496266296775885,7.988364558161223e-06,0.0,-0.04590837929943355,-0.005924678602129378,-0.0002832845302695949,-0.0027121456204653224,0.017897680744186163,-0.06928873924110973,0.0,-0.02555401980799292,0.005859769939553365,-0.04053933207547402,0.0
